id,pitch_tag,rhythm_tag,mode,beat,key_signature
69,"['C', 'A', 'G', 'F', 'C', 'C', 'A', 'G', 'F', 'D', 'D', 'bB', 'A', 'G', 'E', 'HC', 'HC', 'bB', 'G', 'A', 'C', 'A', 'G', 'F', 'C', 'C', 'A', 'G', 'F', 'D', 'D', 'bB', 'A', 'G', 'HC', 'HC', 'HC', 'HD', 'HC', 'bB', 'G', 'F']","[0.25, 0.25, 0.25, 0.25, 1, 0.25, 0.25, 0.25, 0.25, 1, 0.25, 0.25, 0.25, 0.25, 1, 0.25, 0.25, 0.25, 0.25, 1, 0.25, 0.25, 0.25, 0.25, 1, 0.25, 0.25, 0.25, 0.25, 1, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.5, 0.25, 0.25, 0.25, 0.25, 1]",Fkey,4/4,Treble
70,"['C', 'C', 'D', 'F', 'D', 'C', 'C', 'C', 'C', 'D', 'F', 'D', 'C', 'C', 'C', 'D', 'F', 'F', 'D', 'F', 'G', 'G', 'D', 'F', 'D', 'C', 'C']","[0.25, 0.125, 0.125, 0.25, 0.125, 0.125, 1.0, 0.25, 0.125, 0.125, 0.25, 0.125, 0.125, 1.0, 0.375, 0.125, 0.5, 0.25, 0.125, 0.125, 0.5, 0.375, 0.125, 0.25, 0.125, 0.125, 1.0]",Ckey,4/4,Treble
71,"['C', 'C', 'D', 'E', 'C', 'E', 'D', 'LG', 'C', 'C', 'D', 'E', 'C', 'LB', 'C', 'C', 'D', 'E', 'F', 'E', 'D', 'C', 'LB', 'LG', 'LA', 'LB', 'C', 'C', 'A', 'B', 'A', 'G', 'A', 'B', 'HC', 'G', 'A', 'G', 'F', 'E', 'G', 'A', 'B', 'A', 'G', 'A', 'B', 'HC', 'A', 'G', 'HC', 'B', 'HD', 'HC', 'HC']","[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.5, 0.5, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.5, 0.5, 0.375, 0.125, 0.25, 0.25, 0.25, 0.25, 0.5, 0.375, 0.125, 0.25, 0.25, 0.5, 0.5, 0.375, 0.125, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.5, 0.5]",Ckey,4/4,Treble
72,"['E', 'G', 'C', 'D', 'E', 'LG', 'C', 'D', 'E', 'G', 'D', 'E', 'G', 'C', 'D', 'E', 'LA', 'D', 'LG', 'D', 'E', 'C', 'A', 'G', 'A', 'C', 'E', 'A', 'E', 'G', 'D', 'E', 'G', 'C', 'D', 'E', 'LA', 'D', 'LG', 'D', 'E', 'C']","[0.25, 0.25, 0.5, 0.25, 0.25, 0.5, 0.25, 0.25, 0.25, 0.25, 1, 0.25, 0.25, 0.5, 0.25, 0.25, 0.5, 0.25, 0.25, 0.25, 0.25, 1, 0.5, 0.5, 0.5, 0.5, 0.25, 0.25, 0.25, 0.25, 1, 0.25, 0.25, 0.5, 0.25, 0.25, 0.5, 0.25, 0.25, 0.25, 0.25, 1]",Ckey,4/4,Treble
160,"['E', 'G', 'C', 'D', 'E', 'LG', 'C', 'D', 'E', 'G', 'D', 'E', 'G', 'C', 'D', 'E', 'LA', 'D', 'LG', 'D', 'E', 'C', 'A', 'G', 'A', 'C', 'E', 'LA', 'E', 'G', 'D', 'E', 'G', 'C', 'D', 'E', 'LA', 'D', 'LG', 'D', 'E', 'C']","[0.25, 0.25, 0.5, 0.25, 0.25, 0.5, 0.25, 0.25, 0.25, 0.25, 1, 0.25, 0.25, 0.5, 0.25, 0.25, 0.5, 0.25, 0.25, 0.25, 0.25, 1, 0.5, 0.5, 0.5, 0.5, 0.25, 0.25, 0.25, 0.25, 1, 0.25, 0.25, 0.5, 0.25, 0.25, 0.5, 0.25, 0.25, 0.25, 0.25, 1]",Ckey,4/4,Treble
161,"['C', 'C', 'D', 'E', 'C', 'E', 'D', 'LG', 'C', 'C', 'D', 'E', 'C', 'LB', 'C', 'C', 'D', 'E', 'F', 'E', 'D', 'C', 'LB', 'LG', 'LA', 'LB', 'C', 'C', 'A', 'B', 'A', 'G', 'A', 'B', 'HC', 'G', 'A', 'G', 'F', 'E', 'G', 'A', 'B', 'A', 'G', 'A', 'B', 'HC', 'A', 'G', 'HC', 'B', 'HD', 'HC', 'HC']","[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.5, 0.5, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.5, 0.5, 0.375, 0.125, 0.25, 0.25, 0.25, 0.25, 0.5, 0.375, 0.125, 0.25, 0.25, 0.5, 0.5, 0.375, 0.125, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.5, 0.5]",Ckey,4/4,Treble
162,"['C', 'C', 'D', 'F', 'D', 'C', 'C', 'C', 'C', 'D', 'F', 'D', 'C', 'C', 'C', 'D', 'F', 'F', 'D', 'F', 'G', 'G', 'D', 'F', 'D', 'C', 'C']","[0.25, 0.125, 0.125, 0.25, 0.125, 0.125, 1.0, 0.25, 0.125, 0.125, 0.25, 0.125, 0.125, 1.0, 0.375, 0.125, 0.5, 0.25, 0.125, 0.125, 0.5, 0.375, 0.125, 0.25, 0.125, 0.125, 1.0]",Ckey,4/4,Treble
163,"['HC', 'HC', 'A', 'G', 'F', 'D', 'F', 'G', 'D', 'F', 'D', 'F', 'A', 'A', 'G', 'G', 'A', 'HC', 'F', 'G', 'A', 'A', 'G', 'HC', 'A', 'G', 'G', 'F', 'G', 'D', 'C', 'D', 'D', 'G', 'G', 'A', 'A', 'G', 'G', 'F']","[0.25, 0.25, 0.125, 0.125, 0.25, 0.125, 0.125, 0.125, 0.125, 0.5, 0.25, 0.25, 0.125, 0.125, 0.25, 0.125, 0.125, 0.125, 0.125, 0.5, 0.125, 0.125, 0.125, 0.125, 0.5, 0.125, 0.125, 0.125, 0.125, 0.5, 0.25, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.25, 0.25, 0.5]",Fkey,4/4,Treble
164,"['D', 'G', 'B', 'G', 'G', 'B', 'A', 'G', 'A', 'B', 'E', 'D', 'B', 'A', 'B', 'G', 'E', 'G', 'E', 'D', 'B', 'A', 'G', 'A', 'B', 'E', 'D', 'B', 'A']","[0.25, 0.5, 0.25, 0.75, 0.5, 0.25, 0.75, 0.25, 0.25, 0.25, 0.75, 0.5, 0.25, 0.625, 0.125, 0.625, 0.125, 0.5, 0.25, 0.5, 0.25, 0.75, 0.25, 0.25, 0.25, 0.75, 0.5, 0.25, 0.5]",Gkey,3/4,Treble
165,"['G', 'C', 'D', 'E', 'F', 'G', 'C', 'A', 'F', 'G', 'A', 'B', 'HC', 'C', 'F', 'G', 'F', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'LB', 'C', 'D', 'E', 'C', 'D', 'G', 'C', 'D', 'E', 'F', 'G', 'C', 'D', 'E', 'F', 'G', 'C', 'A', 'F', 'G', 'A', 'B', 'HC', 'C', 'F', 'G', 'F', 'E', 'D', 'E', 'F', 'E', 'D', 'C', 'D', 'E', 'D', 'C', 'LB', 'C']","[0.25, 0.125, 0.125, 0.125, 0.125, 0.5, 0.25, 0.25, 0.125, 0.125, 0.125, 0.125, 0.5, 0.25, 0.25, 0.125, 0.125, 0.125, 0.125, 0.25, 0.125, 0.125, 0.125, 0.125, 0.25, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.25, 0.125, 0.125, 0.125, 0.125, 0.5, 0.25, 0.25, 0.125, 0.125, 0.125, 0.125, 0.5, 0.25, 0.25, 0.125, 0.125, 0.125, 0.125, 0.25, 0.125, 0.125, 0.125, 0.125, 0.25, 0.125, 0.125, 0.125, 0.125, 0.75]",Ckey,3/4,Treble
